UserID,Username,AgeGroup,Country,Verified
1,@stream_bot1,Adult,US,True
2,@calm_mind2,Adult,Germany,False
3,@designer_dan3,Adult,Brazil,True
4,@pixel_pusher4,Senior,Brazil,True
5,@pixel_pusher5,Teen,UK,True
6,@social_queen6,Adult,UK,False
7,@calm_mind7,Teen,UK,False
8,@techie428,Teen,Canada,True
9,@meme_lord9,Adult,Brazil,False
10,@pixel_pusher10,Adult,UK,True
11,@stream_bot11,Adult,US,False
12,@calm_mind12,Senior,UK,False
13,@pixel_pusher13,Adult,UK,True
14,@critic9914,Adult,Germany,True
15,@stream_bot15,Adult,India,True
16,@social_queen16,Adult,US,False
17,@techie4217,Adult,UK,False
18,@daily_vibes18,Senior,Canada,False
19,@designer_dan19,Teen,US,False
20,@calm_mind20,Adult,Germany,False
21,@techie4221,Senior,Canada,True
22,@stream_bot22,Adult,Canada,True
23,@critic9923,Teen,India,True
24,@meme_lord24,Teen,India,False
25,@rage_user25,Senior,India,True
26,@critic9926,Teen,US,True
27,@stream_bot27,Teen,US,True
28,@pixel_pusher28,Teen,Canada,False
29,@daily_vibes29,Senior,Brazil,True
30,@stream_bot30,Teen,India,False
31,@social_queen31,Senior,India,True
32,@critic9932,Teen,UK,False
33,@calm_mind33,Teen,UK,True
34,@techie4234,Adult,India,False
35,@pixel_pusher35,Senior,Germany,False
36,@designer_dan36,Teen,Canada,True
37,@meme_lord37,Adult,Canada,False
38,@social_queen38,Senior,Brazil,True
39,@techie4239,Senior,Brazil,True
40,@meme_lord40,Adult,UK,False
41,@stream_bot41,Senior,US,False
42,@social_queen42,Adult,UK,True
43,@daily_vibes43,Adult,UK,True
44,@rage_user44,Adult,Germany,True
45,@stream_bot45,Teen,Germany,True
46,@critic9946,Senior,Germany,True
47,@meme_lord47,Senior,India,True
48,@techie4248,Teen,India,True
49,@calm_mind49,Adult,Brazil,True
50,@designer_dan50,Teen,Canada,True
